DATE,TIME,O,H,L,C
20150105,11:49,8400.55,8400.55,8398.15,8398.7
20150105,11:50,8398.45,8400.75,8398.3,8400.7
20150105,11:51,8400.3,8400.65,8398.25,8398.5
20150105,11:52,8398.65,8400.7,8398.65,8399.2
20150105,11:53,8399.25,8400.1,8397.55,8398.3
20150105,11:54,8398.15,8399,8397.65,8398.1
20150105,11:55,8398.05,8402.1,8398.05,8400
20150105,11:56,8400.15,8403.05,8400.15,8402.5
20150105,11:57,8402.35,8404,8400.95,8402.2
20150105,11:58,8402.45,8406.05,8401.75,8405.6
20150105,11:59,8405.55,8406.45,8402.9,8403.4
20150105,12:00,8403.45,8405.35,8403.1,8405.15
20150105,12:01,8404.75,8405.8,8402.55,8403.05
20150105,12:02,8402.35,8403.45,8401.35,8401.35
20150105,12:03,8402.05,8402.25,8400.6,8401.15
20150105,12:04,8401.1,8404.2,8400.75,8403.35
20150105,12:05,8403.1,8403.75,8401.65,8403.25
20150105,12:06,8402.65,8406.45,8402.65,8406.45
20150105,12:07,8405.85,8406.7,8404.85,8406.45
20150105,12:08,8406.5,8406.75,8404.55,8405.25
20150105,12:09,8405.3,8409.55,8405.3,8409.25
20150105,12:10,8409.05,8411.2,8409,8409.15
20150105,12:11,8409,8410.25,8406.95,8407.3
20150105,12:12,8407.55,8410.4,8407.55,8410.25
20150105,12:13,8410.3,8411.15,8409.35,8410.65
20150105,12:14,8410.9,8411.25,8409.95,8411.05
20150105,12:15,8410.85,8411.85,8409.85,8410.15
20150105,12:16,8410.2,8412.1,8410,8411.85
20150105,12:17,8411.75,8413.05,8411.7,8412.15
20150105,12:18,8412.3,8413.3,8411.75,8412.8
20150105,12:19,8413.05,8413.95,8409.55,8409.65
20150105,12:20,8409.8,8410.35,8408.55,8409
20150105,12:21,8408.85,8409.5,8407.95,8408.55
20150105,12:22,8408.65,8410.5,8407.85,8410.3
20150105,12:23,8410.5,8412.55,8407.7,8407.7
20150105,12:24,8408,8409.15,8407.7,8408.55
20150105,12:25,8408.45,8410.05,8408.15,8409.9
20150105,12:26,8409.8,8410.8,8409.2,8410
20150105,12:27,8410.25,8411.45,8410.25,8410.85
20150105,12:28,8410.95,8411.7,8407.85,8408
20150105,12:29,8408.2,8408.75,8407.15,8408.2
20150105,12:30,8408.35,8408.9,8406.8,8407.35
20150105,12:31,8407,8408.4,8404.9,8405.55
20150105,12:32,8405.65,8405.7,8403.95,8405.7
20150105,12:33,8405.4,8405.85,8401.5,8402.7
20150105,12:34,8402.15,8407.05,8402.15,8405.4
20150105,12:35,8405.5,8407,8405.5,8406.7
20150105,12:36,8406.8,8406.8,8405.15,8406.3
20150105,12:37,8406.45,8407.85,8406.45,8407.55
20150105,12:38,8407.75,8409.45,8407.25,8408.25
20150105,12:39,8408.35,8409.35,8407.95,8408.5
20150105,12:40,8408.7,8409.2,8407.95,8408.45
20150105,12:41,8408.8,8409.1,8408.1,8408.4
20150105,12:42,8408.45,8409.9,8408.45,8409.05
20150105,12:43,8409.8,8410.45,8408.3,8409.05
20150105,12:44,8408.95,8410.15,8407.5,8407.5
20150105,12:45,8407.4,8408.95,8406.6,8407.7
20150105,12:46,8407.8,8408.6,8406.65,8407.1
20150105,12:47,8407.2,8407.8,8406.55,8406.6
20150105,12:48,8406.75,8407.65,8406.55,8406.8
20150105,12:49,8406.75,8407.5,8406.6,8407.5
20150105,12:50,8407.65,8408.05,8403.35,8404.5
20150105,12:51,8404.6,8406.15,8404.3,8405.3
20150105,12:52,8405.5,8407.95,8405.3,8407.65
20150105,12:53,8407.35,8408.1,8406.45,8407.35
20150105,12:54,8407.45,8407.8,8406.3,8407.5
20150105,12:55,8407.4,8408.5,8407.2,8407.4
20150105,12:56,8407.35,8407.4,8405.6,8406.35
20150105,12:57,8406.5,8406.85,8405.8,8406.85
20150105,12:58,8406.8,8407.8,8406.4,8406.4
20150105,12:59,8406.45,8408.35,8406.45,8407.3
20150105,13:00,8407.1,8408,8404.45,8405
20150105,13:01,8404.75,8405.05,8403.45,8404.4
20150105,13:02,8404.05,8405.3,8403.65,8403.8
20150105,13:03,8403.55,8404.35,8398.65,8399.7
20150105,13:04,8399.3,8399.85,8397.6,8399.25
20150105,13:05,8399.35,8401.4,8399,8399.95
20150105,13:06,8400.35,8400.65,8398.35,8399.4
20150105,13:07,8399.05,8399.65,8396.75,8397.6
20150105,13:08,8397.85,8398.25,8395.6,8396.25
20150105,13:09,8396.4,8396.6,8385.9,8386
20150105,13:10,8385.75,8387.1,8381.8,8385.8
20150105,13:11,8385.3,8387.85,8384.95,8386.45
20150105,13:12,8386.6,8388.25,8385.25,8388.25
20150105,13:13,8388.1,8392.35,8386.9,8386.9
20150105,13:14,8385.8,8388.85,8385.55,8388
20150105,13:15,8387.85,8388.95,8387,8388.65
20150105,13:16,8388.3,8389.1,8386.85,8388.35
20150105,13:17,8388.45,8390,8388.45,8389.45
20150105,13:18,8389.2,8390.3,8385,8385.1
20150105,13:19,8384.4,8386.1,8383.25,8385.1
20150105,13:20,8385.25,8386.3,8384.35,8385.15
20150105,13:21,8385.3,8386.6,8384.2,8384.7
20150105,13:22,8384.8,8385.2,8382.8,8384.25
20150105,13:23,8384.15,8385.15,8382.95,8383.55
20150105,13:24,8383.3,8385.35,8383.3,8385.05
20150105,13:25,8385,8388.85,8385,8386.7
20150105,13:26,8386.6,8387.35,8385.05,8385.3
20150105,13:27,8385.15,8386.75,8384.75,8385.65
20150105,13:28,8386.1,8387.7,8385.55,8386.55
20150105,13:29,8386.75,8387.75,8386.05,8386.55
20150105,13:30,8386.65,8387.3,8386.05,8386.05
20150105,13:31,8386.15,8388.7,8385.8,8388.7
20150105,13:32,8388.45,8389.35,8387.9,8388.8
20150105,13:33,8388.9,8389.85,8388.15,8389
20150105,13:34,8388.9,8389.55,8387.3,8388
20150105,13:35,8387.85,8390.75,8387.85,8390.65
